RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1.00,"15,634,602.00",Hargrave,619.00,France,Female,42.00,2.00,0.00,1.00,1.00,1.00,"101,348.88",1.00
2.00,"15,647,311.00",Hill,608.00,Spain,Female,41.00,1.00,"83,807.86",1.00,0.00,1.00,"112,542.58",0.00
3.00,"15,619,304.00",Onio,502.00,France,Female,42.00,8.00,"159,660.80",3.00,1.00,0.00,"113,931.57",1.00
4.00,"15,701,354.00",Boni,699.00,France,Female,39.00,1.00,0.00,2.00,0.00,0.00,"93,826.63",0.00
5.00,"15,737,888.00",Mitchell,850.00,Spain,Female,43.00,2.00,"125,510.82",1.00,1.00,1.00,"79,084.10",0.00
6.00,"15,574,012.00",Chu,645.00,Spain,Male,44.00,8.00,"113,755.78",2.00,1.00,0.00,"149,756.71",1.00
7.00,"15,592,531.00",Bartlett,822.00,France,Male,50.00,7.00,0.00,2.00,1.00,1.00,"10,062.80",0.00
8.00,"15,656,148.00",Obinna,376.00,Germany,Female,29.00,4.00,"115,046.74",4.00,1.00,0.00,"119,346.88",1.00
9.00,"15,792,365.00",He,501.00,France,Male,44.00,4.00,"142,051.07",2.00,0.00,1.00,"74,940.50",0.00
10.00,"15,592,389.00",H?,684.00,France,Male,27.00,2.00,"134,603.88",1.00,1.00,1.00,"71,725.73",0.00
11.00,"15,767,821.00",Bearce,528.00,France,Male,31.00,6.00,"102,016.72",2.00,0.00,0.00,"80,181.12",0.00
12.00,"15,737,173.00",Andrews,497.00,Spain,Male,24.00,3.00,0.00,2.00,1.00,0.00,"76,390.01",0.00
13.00,"15,632,264.00",Kay,476.00,France,Female,34.00,10.00,0.00,2.00,1.00,0.00,"26,260.98",0.00
14.00,"15,691,483.00",Chin,549.00,France,Female,25.00,5.00,0.00,2.00,0.00,0.00,"190,857.79",0.00
15.00,"15,600,882.00",Scott,635.00,Spain,Female,35.00,7.00,0.00,2.00,1.00,1.00,"65,951.65",0.00
16.00,"15,643,966.00",Goforth,616.00,Germany,Male,45.00,3.00,"143,129.41",2.00,0.00,1.00,"64,327.26",0.00
17.00,"15,737,452.00",Romeo,653.00,Germany,Male,58.00,1.00,"132,602.88",1.00,1.00,0.00,"5,097.67",1.00
18.00,"15,788,218.00",Henderson,549.00,Spain,Female,24.00,9.00,0.00,2.00,1.00,1.00,"14,406.41",0.00
19.00,"15,661,507.00",Muldrow,587.00,Spain,Male,45.00,6.00,0.00,1.00,0.00,0.00,"158,684.81",0.00
20.00,"15,568,982.00",Hao,726.00,France,Female,24.00,6.00,0.00,2.00,1.00,1.00,"54,724.03",0.00
21.00,"15,577,657.00",McDonald,732.00,France,Male,41.00,8.00,0.00,2.00,1.00,1.00,"170,886.17",0.00
22.00,"15,597,945.00",Dellucci,636.00,Spain,Female,32.00,8.00,0.00,2.00,1.00,0.00,"138,555.46",0.00
23.00,"15,699,309.00",Gerasimov,510.00,Spain,Female,38.00,4.00,0.00,1.00,1.00,0.00,"118,913.53",1.00
24.00,"15,725,737.00",Mosman,669.00,France,Male,46.00,3.00,0.00,2.00,0.00,1.00,"8,487.75",0.00
25.00,"15,625,047.00",Yen,846.00,France,Female,38.00,5.00,0.00,1.00,1.00,1.00,"187,616.16",0.00
26.00,"15,738,191.00",Maclean,577.00,France,Male,25.00,3.00,0.00,2.00,0.00,1.00,"124,508.29",0.00
27.00,"15,736,816.00",Young,756.00,Germany,Male,36.00,2.00,"136,815.64",1.00,1.00,1.00,"170,041.95",0.00
28.00,"15,700,772.00",Nebechi,571.00,France,Male,44.00,9.00,0.00,2.00,0.00,0.00,"38,433.35",0.00
